Dosing Cup ,0.001862658
None,0.014650132
WDT,0.017642264
WDT,0.019045137
None,0.033945697
None,0.045740812
Dosing Cup ,0.05908474
None,0.061298476
WDT,0.07602785
None,0.086592237
Dosing Cup ,0.100269132
WDT,0.105968223
WDT,0.108705443
Dosing Cup ,0.112655273
None,0.115704121
WDT,0.124764121
None,0.138535665
Dosing Cup ,0.148963603
WDT,0.162358005
Dosing Cup ,0.183684077
Dosing Cup ,0.185538973
WDT,0.193468431
Dosing Cup ,0.214612101
Dosing Cup ,0.217564535
WDT,0.222222639
Dosing Cup ,0.222634899
None,0.233309378
None,0.238739178
WDT,0.242470263
None,0.253070316
None,0.277016504
None,0.296187231
None,0.301286551
Dosing Cup ,0.319570966
Dosing Cup ,0.324461584
Dosing Cup ,0.326795447
None,0.333902649
Dosing Cup ,0.334245224
Dosing Cup ,0.337110834
WDT,0.373876647
None,0.396074476
Dosing Cup ,0.40454099
Dosing Cup ,0.426347533
WDT,0.473661916
None,0.491936632
Dosing Cup ,0.493135904
None,0.535398661
WDT,0.539126224
Dosing Cup ,0.547584225
WDT,0.590266671
None,0.591474473
None,0.591989684
None,0.596388406
Dosing Cup ,0.608126792
None,0.61287576
None,0.6171702
WDT,0.63397663
WDT,0.715493285
Dosing Cup ,0.717282284
WDT,0.721363955
Dosing Cup ,0.736257707
WDT,0.739895362
Dosing Cup ,0.741733306
WDT,0.754729297
None,0.757526745
Dosing Cup ,0.764062795
Dosing Cup ,0.769638225
None,0.780192707
WDT,0.784407888
None,0.786739923
Dosing Cup ,0.810486521
WDT,0.815183193
None,0.822974414
WDT,0.833069303
WDT,0.834954888
None,0.839220104
WDT,0.841573158
None,0.85306347
WDT,0.874087747
Dosing Cup ,0.88801578
WDT,0.892570387
WDT,0.893812665
WDT,0.906686959
Dosing Cup ,0.917952579
None,0.92751003
WDT,0.942001322
Dosing Cup ,0.94512723
Dosing Cup ,0.963262827
WDT,0.989205566
None,0.99227347
